project,previous_name,permittee,subwatershed,project_type,description,latitude,longitude,required_completion_date,actual_completion_date,capital_costs,cum_om_costs,funding_sources,project_footprint,drainage,projected_storage_capacity,actual_storage_24,actual_storage,cum_volume,WMG,Latitude,Longitude,cum_volume_raw,cum_volume_clean
Proposition 84 (Bixler and Prichard),Not Applicable,Downey,Los Cerritos Channel,"Green Street, Biofiltration",1 biofiltration planter,33.908594000000001,-118.151507,Not Applicable,2017-06-30T00:00:00Z,27160,281.60000000000002,"Municipal General Fund, CA State Proposition 84",0.00 ac,1.00 ac,Not Applicable,0.18 ac-ft,0.17 ac-ft,4.287077,Los Cerritos Channel,33.908594,-118.151507,4.287077,4.287077
Proposition 84 (Colorado and Alondra),Proposition 84- #1,Paramount,Los Cerritos Channel,"Green Street, Biofiltration",tree box filter,33.889570999999997,-118.16154400000001,Not Applicable,2017-07-01T00:00:00Z,0,750,"Municipal General Fund, CA State Proposition 84",0.00 ac,1.00 ac,Not Applicable,0.18 ac-ft,0.17 ac-ft,4.287077,Los Cerritos Channel,33.889571,-118.161544,4.287077,4.287077
Proposition 84 (Vermont and Alondra),Proposition 84 - #2,Paramount,Los Cerritos Channel,"Green Street, Biofiltration",tree box filter,33.889493000000002,-118.16286700000001,Not Applicable,2017-07-01T00:00:00Z,0,750,"Municipal General Fund, CA State Proposition 84",0.00 ac,1.00 ac,Not Applicable,0.19 ac-ft,0.17 ac-ft,4.287077,Los Cerritos Channel,33.889493,-118.162867,4.287077,4.287077
Signal Hill Dog Park,Not Applicable,Signal Hill,Los Cerritos Channel,"LID Retrofit, Bioretention",(1) Drywell,33.813625000000002,-118.179582,Not Applicable,2018-10-30T00:00:00Z,46200,3975,Not Applicable,0.00 ac,0.49 ac,Not Applicable,0.02 ac-ft,0.02 ac-ft,0.911311,Los Cerritos Channel,33.813625,-118.179582,0.91131099999999998,0.91131099999999998
Arterial Street Resurfacing In Paramount Boulevard,Not Applicable,Paramount,Lower LA River,Infiltration Well,bioretention,33.907611000000003,-118.16027800000001,Not Applicable,2019-10-12T00:00:00Z,0,0,Municipal General Fund,0.00 ac,7.17 ac,Not Applicable,0.03 ac-ft,0.02 ac-ft,0,Lower LA River,33.907611,-118.160278,0,0
Arterial Street Resurfacing on Alondra Boulevard #1,Not Applicable,Paramount,Lower LA River,Infiltration Well,MaxWell Plus Drywell unit,33.889252999999997,-118.18479000000001,Not Applicable,2021-01-01T00:00:00Z,0,0,Municipal General Fund,0.10 ac,0.10 ac,Not Applicable,2.36 ac-ft,0.01 ac-ft,0.206522,Lower LA River,33.889253,-118.18479,0.20652200000000001,0.20652200000000001
Arterial Street Resurfacing on Alondra Boulevard #2,Not Applicable,Paramount,Lower LA River,Infiltration Well,MaxWell Plus Drywell unit,33.889004999999997,-118.184354,Not Applicable,2021-01-01T00:00:00Z,0,0,Municipal General Fund,0.10 ac,0.10 ac,Not Applicable,2.36 ac-ft,0.01 ac-ft,0.206522,Lower LA River,33.889005,-118.184354,0.20652200000000001,0.20652200000000001
Arterial Street Resurfacing on Orange Ave and Alondra Blvd,Not Applicable,Paramount,Lower LA River,Infiltration Well,MaxWell Plus Drywell unit,33.889498000000003,-118.17760199999999,Not Applicable,2024-12-01T00:00:00Z,100000,250,Not Applicable,0.21 ac,0.21 ac,Not Applicable,0.15 ac-ft,0.01 ac-ft,0,Lower LA River,33.889498,-118.177602,0,0
Arterial Street Resurfacing on Orange Ave and Myrrh St,Not Applicable,Paramount,Lower LA River,Infiltration Well,MaxWell Plus Drywell unit,33.893526000000001,-118.177409,Not Applicable,2024-12-01T00:00:00Z,100000,250,Not Applicable,0.78 ac,0.78 ac,Not Applicable,0.49 ac-ft,0.01 ac-ft,0,Lower LA River,33.893526,-118.177409,0,0
Arterial Street Resurfacing on Orange Ave and San Luis St,Not Applicable,Paramount,Lower LA River,Infiltration Well,MaxWell Plus Drywell unit,33.897351999999998,-118.17760699999999,Not Applicable,2023-06-30T00:00:00Z,89000,1500,Municipal General Fund,0.85 ac,0.85 ac,Not Applicable,0.53 ac-ft,0.01 ac-ft,0.21826,Lower LA River,33.897352,-118.177607,0.21826000000000001,0.21826000000000001
Atlantic Avenue Improvements,Not Applicable,South Gate,Lower LA River,"Green Street, Biofiltration",1 biofiltration planter,33.941536999999997,-118.181459,Not Applicable,2016-01-02T00:00:00Z,150000,3500,Not Applicable,0.00 ac,21.07 ac,Not Applicable,0.03 ac-ft,0.03 ac-ft,0,Lower LA River,33.941537,-118.181459,0,0
Atlantic Place Tract Green Street,Not Applicable,Paramount,Lower LA River,"Green Street, Bioretention",bioretention,33.890385000000002,-118.185512,Not Applicable,2017-01-02T00:00:00Z,0,0,Municipal General Fund,0.00 ac,2.89 ac,Not Applicable,0.00 ac-ft,0.00 ac-ft,0,Lower LA River,33.890385,-118.185512,0,0
Chakemco Street Improvement 1 (Bioretention),Not Applicable,South Gate,Lower LA River,"Green Street, Bioretention",1 bioretention planter,33.940002,-118.179879,Not Applicable,2020-12-02T00:00:00Z,100000,8500,Not Applicable,0.00 ac,0.10 ac,Not Applicable,0.01 ac-ft,0.01 ac-ft,0,Lower LA River,33.940002,-118.179879,0,0
Circle Park Parking Lot Improvements,Not Applicable,South Gate,Lower LA River,Other (specify),"Permeable pavers, bioswale. LID Retrofit, Infiltration",33.938464000000003,-118.16791000000001,Not Applicable,2019-09-25T00:00:00Z,150000,3000,Not Applicable,0.10 ac,1.12 ac,Not Applicable,2.34 ac-ft,0.08 ac-ft,0.212042,Lower LA River,33.938464,-118.16791,0.21204200000000001,0.21204200000000001
Daisy - Myrtle Roundabouts,Not Applicable,Long Beach,Lower LA River,"Green Street, Bioretention",3 bioretention basins and 9 vegetated swales,33.867322999999999,-118.182058,Not Applicable,2019-01-01T00:00:00Z,0,0,Municipal General Fund,0.05 ac,0.46 ac,Not Applicable,0.60 ac-ft,0.02 ac-ft,1.82113,Lower LA River,33.867323,-118.182058,1.8211299999999999,1.8211299999999999
Deforest Wetland Restoration Project,Not Applicable,Long Beach,Lower LA River,Regional Infiltration Gallery,"Up to 39 acres of riparian and wetland habitat restoration along 4,800 ft reach of the Los Angeles River floodplain. Includes bioswales, native landscaping, treatment wetlands, porous pavement, and stormwater solids capture in addition to other community benefits such as trail enhancements, greenyway connections, and interpretive/educational displays on native habitat and wetland benefits.",33.863199999999999,-118.194878,Not Applicable,2018-06-30T00:00:00Z,8300000,0,"Municipal General Fund, CA State Proposition 1, CA State Proposition 84, CA Natural Resources Agency, Other State Program, Other Municipal Program",31.40 ac,"1,586.00 ac",Not Applicable,866.64 ac-ft,157.00 ac-ft,5629.117192,Lower LA River,33.8632,-118.194878,5629.1171919999997,5629.1171919999997
Duncan Ave Street Improvement,Not Applicable,Lynwood,Lower LA River,"LID Retrofit, Bioretention",Subsurface infiltration system,33.929082999999999,-118.181023,Not Applicable,2019-07-01T00:00:00Z,0,0,Not Applicable,0.00 ac,1.87 ac,Not Applicable,0.01 ac-ft,0.00 ac-ft,0.14531,Lower LA River,33.929083,-118.181023,0.14530999999999999,0.14530999999999999
Fernwood Ave Park,Not Applicable,Lynwood,Lower LA River,"LID Retrofit, Bioretention","Four retention basins to treat runonff from Fernwood Ave was constructed as part of the new park. The new park will also provide community amenities including a fitness trail, playground, picnic areas, rest stops with benches, native California gardens, and 45 shade trees. ",33.928871999999998,-118.217772,Not Applicable,2023-10-14T00:00:00Z,0,0,"Safe, Clean Water, CA State Proposition 1, Other State Program, Other Municipal Program",0.06 ac,0.23 ac,Not Applicable,0.71 ac-ft,0.01 ac-ft,NA,Lower LA River,33.928872,-118.217772,9.9750000000000005E-2,9.9750000000000005-2
Filterra at Imperial Blvd and LBB,Not Applicable,Lynwood,Lower LA River,"Green Street, Biofiltration",1 tree box filter,33.930776000000002,-118.211517,Not Applicable,2019-07-01T00:00:00Z,0,0,Not Applicable,0.00 ac,1.00 ac,Not Applicable,0.19 ac-ft,0.17 ac-ft,3.766594,Lower LA River,33.930776,-118.211517,3.766594,3.766594
Filterra at MLK Jr Blvd and LBB,Not Applicable,Lynwood,Lower LA River,"Green Street, Biofiltration",1 tree box filter,33.937041999999998,-118.213465,Not Applicable,2019-07-01T00:00:00Z,0,0,Not Applicable,0.00 ac,1.00 ac,Not Applicable,0.19 ac-ft,0.17 ac-ft,3.766594,Lower LA River,33.937042,-118.213465,3.766594,3.766594
Firestone Blvd Cooridor Enhancement,Not Applicable,South Gate,Lower LA River,Infiltration Well,3 drywells (Infiltration Well),33.953530999999998,-118.199012,Not Applicable,2019-10-29T00:00:00Z,300000,1500,Not Applicable,0.02 ac,2.36 ac,Not Applicable,0.18 ac-ft,0.16 ac-ft,10.110026,Lower LA River,33.953531,-118.199012,10.110026,10.110026
Firestone Blvd Street Improvements (CIP No. 15-14),Not Applicable,Downey,Lower LA River,"Green Street, Biofiltration",1 bioswale,33.947082569999999,-118.1508353,Not Applicable,2020-04-28T00:00:00Z,2181640.25,310,"Other State Program, Other Federal Program, Other Municipal Program",0.01 ac,0.09 ac,Not Applicable,0.15 ac-ft,0.01 ac-ft,0.202824,Lower LA River,33.94708257,-118.1508353,0.202824,0.202824
Garfield & Firestone Blvd,Not Applicable,South Gate,Lower LA River,"Green Street, Biofiltration",1 bioswale,33.949084999999997,-118.16509000000001,Not Applicable,2017-01-02T00:00:00Z,75000,33500,Not Applicable,0.02 ac,0.40 ac,Not Applicable,0.48 ac-ft,0.03 ac-ft,1.721034,Lower LA River,33.949085,-118.16509,1.721034,1.721034
Garfield Ave Complete Street Improvement Project,Not Applicable,Downey,Lower LA River,"Green Street, Bioretention",4 bioswales,33.923854200000001,-118.1691453,Not Applicable,2024-04-09T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,0.02 ac,0.60 ac,Not Applicable,0.49 ac-ft,0.04 ac-ft,0,Lower LA River,33.9238542,-118.1691453,0,0
Ham Park,Not Applicable,Lynwood,Lower LA River,"LID Retrofit, Biofiltration",Permeable pavement with bioswale,33.914200000000001,-118.189915,Not Applicable,2017-01-01T00:00:00Z,0,0,Not Applicable,0.13 ac,0.13 ac,Not Applicable,1.63 ac-ft,0.01 ac-ft,0.810322,Lower LA River,33.9142,-118.189915,0.81032199999999999,0.81032199999999999
Heritage Park,View Park,Signal Hill,Lower LA River,Infiltration Well,(1) Drywell,33.799858999999998,-118.16876499999999,Not Applicable,2022-04-27T00:00:00Z,3000000,0,Not Applicable,0.03 ac,1.10 ac,Not Applicable,0.85 ac-ft,0.02 ac-ft,0.475145,Lower LA River,33.799859,-118.168765,0.47514499999999998,0.47514499999999998
Hollydale Regional Park,Not Applicable,South Gate,Lower LA River,"LID Retrofit, Bioretention",1 bioswale,33.920152999999999,-118.174729,Not Applicable,2020-04-08T00:00:00Z,300000,6000,Not Applicable,0.06 ac,3.52 ac,Not Applicable,1.42 ac-ft,0.07 ac-ft,4.53877,Lower LA River,33.920153,-118.174729,4.5387700000000004,4.5387700000000004
Houghton Park Community Center Renovation Project,Not Applicable,Long Beach,Lower LA River,"LID Retrofit, Bioretention",2 drywells and 1 bioretention,33.869674000000003,-118.18355699999999,Not Applicable,2020-07-01T00:00:00Z,0,10240,Municipal General Fund,0.02 ac,1.14 ac,Not Applicable,0.59 ac-ft,0.12 ac-ft,2.597934,Lower LA River,33.869674,-118.183557,2.597934,2.597934
Karmont Avenue and Adella Avenue Stormwater Infiltration Wells Improvement Project - Stormwater Well 1 (Karmont),Chakemco Street Improvement 2,South Gate,Lower LA River,Infiltration Well,1 drywell,33.939621000000002,-118.165875,Not Applicable,2023-10-26T00:00:00Z,150000,1000,Not Applicable,0.01 ac,2.63 ac,Not Applicable,0.23 ac-ft,0.01 ac-ft,0.234429,Lower LA River,33.939621,-118.165875,0.234429,0.234429
Karmont Avenue and Adella Avenue Stormwater Infiltration Wells Improvement Project - Stormwater Well 2 (Adella),Chakemco Street Improvement 3,South Gate,Lower LA River,Infiltration Well,1 drywell,33.938155999999999,-118.178539,Not Applicable,2023-10-27T00:00:00Z,150000,1000,Not Applicable,0.01 ac,2.63 ac,Not Applicable,0.23 ac-ft,0.01 ac-ft,0.112843,Lower LA River,33.938156,-118.178539,0.112843,0.112843
LB-MUST Street Improvements,Not Applicable,Long Beach,Lower LA River,"Green Street, Biofiltration",1 biofiltration planter,33.777487000000001,-118.204018,Not Applicable,2021-01-20T00:00:00Z,0,10240,Municipal General Fund,0.00 ac,0.20 ac,Not Applicable,0.09 ac-ft,0.02 ac-ft,0.40049,Lower LA River,33.777487,-118.204018,0.40049000000000001,0.40049000000000001
Lilita Street and Eve Avenue Storm Drain Improvement Project,Not Applicable,Lynwood,Lower LA River,"Green Street, Bioretention",Subsurface infiltration chambers,33.930118,-118.195876,Not Applicable,2021-02-17T00:00:00Z,1236621,39657.25,"Safe, Clean Water, Other Municipal Program",0.07 ac,7.74 ac,Not Applicable,1.11 ac-ft,0.32 ac-ft,11.914858,Lower LA River,33.930118,-118.195876,11.914858000000001,11.914858000000001
Long Beach Civic Center,Not Applicable,Long Beach,Lower LA River,"LID Retrofit, Harvest and Reuse",Landscape area for harvest and use,33.767615999999997,-118.196761,Not Applicable,2019-07-01T00:00:00Z,0,10240,Municipal General Fund,0.40 ac,3.43 ac,Not Applicable,2.17 ac-ft,0.17 ac-ft,7.034786,Lower LA River,33.767616,-118.196761,7.0347860000000004,7.0347860000000004
Long Beach Civic Center (Lincoln Park),Not Applicable,Long Beach,Lower LA River,"LID Retrofit, Harvest and Reuse",Landscape area for harvest and use,33.767829999999996,-118.194095,Not Applicable,2024-09-26T00:00:00Z,0,0,Municipal General Fund,1.76 ac,4.91 ac,Not Applicable,9.01 ac-ft,0.21 ac-ft,0,Lower LA River,33.76783,-118.194095,0,0
Louise Ave Street Improvements,Not Applicable,Lynwood,Lower LA River,"Green Street, Bioretention",Subsurface infiltration cells,33.921323000000001,-118.18223999999999,Not Applicable,2019-05-02T00:00:00Z,0,0,Not Applicable,0.00 ac,3.02 ac,Not Applicable,0.01 ac-ft,0.00 ac-ft,0.229948,Lower LA River,33.921323,-118.18224,0.22994800000000001,0.22994800000000001
Lynwood City Hall Annex,Not Applicable,Lynwood,Lower LA River,"LID Retrofit, Bioretention",Infiltration chambers,33.926499999999997,-118.198747,Not Applicable,2018-01-01T00:00:00Z,0,0,Not Applicable,0.02 ac,0.78 ac,Not Applicable,0.30 ac-ft,0.09 ac-ft,3.18581,Lower LA River,33.9265,-118.198747,3.18581,3.18581
Lynwood Urban Bike Trail,Not Applicable,Lynwood,Lower LA River,"Green Street, Bioretention","Undeveloped Caltrans excess land adjacent to the I-105 freeway along Fernwood Ave between Atlantic and Birch St was converted into a 1.1 mile Class 1 Bicycle Trail. The trail features native, drought tolerant plants and trees, 5,500 lf of water efficient irrigation, 4,500 sf of permeable pavers, and 2,500 sf of bioswales. The project won the Active, Healthy and Safe Communities Award from the Southern California Association of Governments during its 2023 Sustainability Awards.",33.916620000000002,-118.189314,Not Applicable,2022-12-03T00:00:00Z,0,0,"Safe, Clean Water, Municipal General Fund, CA State Proposition 68, CA Natural Resources Agency",0.16 ac,2.18 ac,Not Applicable,1.96 ac-ft,0.01 ac-ft,2.399542,Lower LA River,33.91662,-118.189314,2.3995419999999998,2.3995419999999998
Palm Avenue Improvements Project,Not Applicable,Lynwood,Lower LA River,"Green Street, Bioretention",2 drywells,33.911096000000001,-118.198808,Not Applicable,2020-01-01T00:00:00Z,65000,1200,Not Applicable,0.00 ac,12.50 ac,Not Applicable,0.05 ac-ft,0.03 ac-ft,2.254482,Lower LA River,33.911096,-118.198808,2.2544819999999999,2.2544819999999999
Proposition 84 - #1,Not Applicable,Pico Rivera,Lower LA River,"Green Street, Biofiltration",1 tree box filter,33.995294999999999,-118.094577,Not Applicable,2017-06-30T00:00:00Z,55375.45,200,"Municipal General Fund, CA State Proposition 84",0.00 ac,1.00 ac,Not Applicable,0.18 ac-ft,0.17 ac-ft,5.184853,Lower LA River,33.995295,-118.094577,5.1848530000000004,5.1848530000000004
Proposition 84 - #2,Not Applicable,Pico Rivera,Lower LA River,"Green Street, Biofiltration",1 tree box filter,33.994970000000002,-118.094927,Not Applicable,2017-06-30T00:00:00Z,55375.45,200,"Municipal General Fund, CA State Proposition 84",0.00 ac,1.00 ac,Not Applicable,0.18 ac-ft,0.17 ac-ft,5.184853,Lower LA River,33.99497,-118.094927,5.1848530000000004,5.1848530000000004
Proposition 84 (11077 Eve Ave),Not Applicable,Lynwood,Lower LA River,"Green Street, Bioretention",1 bioretention tree well,33.930298000000001,-118.19579,Not Applicable,2017-06-30T00:00:00Z,16919.3,0,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.02 ac-ft,0.01 ac-ft,0.9690200000000002,Lower LA River,33.930298,-118.19579,0.96901999999999999,0.96901999999999999
Proposition 84 (12308 Edgebrook),Not Applicable,Lynwood,Lower LA River,"Green Street, Bioretention",1 bioretention tree well,33.909770000000002,-118.182648,Not Applicable,2017-06-30T00:00:00Z,16919.3,0,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.02 ac-ft,0.01 ac-ft,0.9690200000000002,Lower LA River,33.90977,-118.182648,0.96901999999999999,0.96901999999999999
Proposition 84 (12337 Edgebrook),Not Applicable,Lynwood,Lower LA River,"Green Street, Bioretention",1 bioretention tree well,33.908726000000001,-118.18283599999999,Not Applicable,2017-06-30T00:00:00Z,16919.3,0,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.02 ac-ft,0.01 ac-ft,0.9690200000000002,Lower LA River,33.908726,-118.182836,0.96901999999999999,0.96901999999999999
Proposition 84 (12501 Edgebrook),Not Applicable,Lynwood,Lower LA River,"Green Street, Bioretention",1 bioretention tree well,33.907930999999998,-118.18304000000001,Not Applicable,2017-06-30T00:00:00Z,16919.3,0,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.02 ac-ft,0.01 ac-ft,0.9690200000000002,Lower LA River,33.907931,-118.18304,0.96901999999999999,0.96901999999999999
Proposition 84 (2719 109th St),Not Applicable,Lynwood,Lower LA River,"Green Street, Bioretention",1 bioretention tree well,33.936264999999999,-118.223046,Not Applicable,2017-06-30T00:00:00Z,16919.3,0,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.02 ac-ft,0.01 ac-ft,1.043999,Lower LA River,33.936265,-118.223046,1.0439989999999999,1.0439989999999999
Proposition 84 (2734 E 110th St),Not Applicable,Lynwood,Lower LA River,"Green Street, Bioretention",1 bioretention tree well,33.935288,-118.222641,Not Applicable,2017-06-30T00:00:00Z,16919.3,0,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.02 ac-ft,0.01 ac-ft,1.043999,Lower LA River,33.935288,-118.222641,1.0439989999999999,1.0439989999999999
Proposition 84 (3861 Lilita St),Not Applicable,Lynwood,Lower LA River,"Green Street, Bioretention",1 bioretention tree well,33.930169999999997,-118.19631699999999,Not Applicable,2017-06-30T00:00:00Z,16919.3,0,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.02 ac-ft,0.01 ac-ft,0.9690200000000002,Lower LA River,33.93017,-118.196317,0.96901999999999999,0.96901999999999999
Proposition 84 (3957 Palm Ave),Not Applicable,Lynwood,Lower LA River,"Green Street, Bioretention",1 bioretention tree well,33.911411999999999,-118.199529,Not Applicable,2017-06-30T00:00:00Z,16919.3,0,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.02 ac-ft,0.01 ac-ft,0.9690200000000002,Lower LA River,33.911412,-118.199529,0.96901999999999999,0.96901999999999999
Proposition 84 (3965 Palm Ave),Not Applicable,Lynwood,Lower LA River,"Green Street, Bioretention",1 bioretention tree well,33.911273000000001,-118.19919299999999,Not Applicable,2017-06-30T00:00:00Z,16919.3,0,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.02 ac-ft,0.01 ac-ft,0.9690200000000002,Lower LA River,33.911273,-118.199193,0.96901999999999999,0.96901999999999999
Proposition 84 (Clark and Wright #2),Not Applicable,Lynwood,Lower LA River,"Green Street, Biofiltration",1 tree box filter,33.910316000000002,-118.186387,Not Applicable,2017-06-30T00:00:00Z,16919.3,0,"Municipal General Fund, CA State Proposition 84",0.00 ac,1.00 ac,Not Applicable,0.18 ac-ft,0.17 ac-ft,4.285102,Lower LA River,33.910316,-118.186387,4.2851020000000002,4.2851020000000002
Proposition 84 (Clark and Wright),Not Applicable,Lynwood,Lower LA River,"Green Street, Biofiltration",1 tree box filter,33.910231000000003,-118.186271,Not Applicable,2017-06-30T00:00:00Z,16919.3,0,"Municipal General Fund, CA State Proposition 84",0.00 ac,1.00 ac,Not Applicable,0.18 ac-ft,0.17 ac-ft,4.285102,Lower LA River,33.910231,-118.186271,4.2851020000000002,4.2851020000000002
Proposition 84 (Fernwood and Santa Fe Springs),Not Applicable,Lynwood,Lower LA River,"Green Street, Biofiltration",1 tree box filter,33.928128999999998,-118.229872,Not Applicable,2017-06-30T00:00:00Z,16919.3,0,"Municipal General Fund, CA State Proposition 84",0.00 ac,1.00 ac,Not Applicable,0.18 ac-ft,0.17 ac-ft,4.285102,Lower LA River,33.928129,-118.229872,4.2851020000000002,4.2851020000000002
Proposition 84 (Glady and Garfield),Not Applicable,South Gate,Lower LA River,"Green Street, Biofiltration",1 biofiltration planter,33.932918999999998,-118.167281,Not Applicable,2017-07-01T00:00:00Z,27160,10500,Not Applicable,0.00 ac,1.00 ac,Not Applicable,0.19 ac-ft,0.17 ac-ft,4.174393,Lower LA River,33.932919,-118.167281,4.1743930000000002,4.1743930000000002
Proposition 84 (Santa Fe and 108th St),Not Applicable,Lynwood,Lower LA River,"Green Street, Bioretention",1 bioretention tree well,33.936883999999999,-118.223123,Not Applicable,2017-06-30T00:00:00Z,16919.3,0,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.02 ac-ft,0.01 ac-ft,1.043999,Lower LA River,33.936884,-118.223123,1.0439989999999999,1.0439989999999999
Proposition 84 (State and Independence),Proposition 84 2,South Gate,Lower LA River,"Green Street, Biofiltration",1 biofiltration planter,33.958261999999998,-118.211545,Not Applicable,2017-07-01T00:00:00Z,27160,10500,Not Applicable,0.00 ac,1.00 ac,Not Applicable,0.18 ac-ft,0.17 ac-ft,4.663241,Lower LA River,33.958262,-118.211545,4.6632410000000002,4.6632410000000002
Ricardo Lara Linear Park,Linear Park,Lynwood,Lower LA River,"LID Retrofit, Biofiltration","Transformation of vacant land along side the I-105 freeway into an award winning park. Features include bioswales, playgrounds, walking trail, community garden, dog parks, exercise stations and pavilion with benches and solar lighting.",33.920783,-118.199292,Not Applicable,2015-10-31T00:00:00Z,4949947,0,"Municipal General Fund, CA State Proposition 84",0.24 ac,0.24 ac,Not Applicable,2.90 ac-ft,0.01 ac-ft,1.216977,Lower LA River,33.920783,-118.199292,1.216977,1.216977
Signal Hill Police Facility,Not Applicable,Signal Hill,Lower LA River,"LID Retrofit, Bioretention",(1) Bioretention,33.80686,-118.172449,Not Applicable,2013-01-16T00:00:00Z,25000,7500,Not Applicable,0.00 ac,2.66 ac,Not Applicable,0.14 ac-ft,0.14 ac-ft,14.485404,Lower LA River,33.80686,-118.172449,14.485404000000001,14.485404000000001
Street Improvements on Garfield,Not Applicable,South Gate,Lower LA River,"Green Street, Bioretention",11 bioretention planters,33.922485000000002,-118.169101,Not Applicable,2024-09-14T00:00:00Z,150000,0,Not Applicable,0.03 ac,0.76 ac,Not Applicable,0.19 ac-ft,0.05 ac-ft,0,Lower LA River,33.922485,-118.169101,0,0
Street Improvements on Garfield and Imperial 1,Not Applicable,South Gate,Lower LA River,Infiltration Well,1 drywell,33.930261999999999,-118.17346999999999,Not Applicable,2021-05-02T00:00:00Z,150000,3500,Not Applicable,0.00 ac,0.86 ac,Not Applicable,0.06 ac-ft,0.06 ac-ft,0.138008,Lower LA River,33.930262,-118.17347,0.13800799999999999,0.13800799999999999
Street Improvements on Garfield and Imperial 2,Not Applicable,South Gate,Lower LA River,Infiltration Well,1 drywell,33.930169999999997,-118.167929,Not Applicable,2021-05-02T00:00:00Z,150000,3500,Not Applicable,0.00 ac,0.86 ac,Not Applicable,0.06 ac-ft,0.06 ac-ft,0.138008,Lower LA River,33.93017,-118.167929,0.13800799999999999,0.13800799999999999
The Signal Hill Library,Not Applicable,Signal Hill,Lower LA River,"LID Retrofit, Bioretention",(1) Drywell,33.796816,-118.169616,Not Applicable,2019-08-07T00:00:00Z,82200,11925,Not Applicable,0.00 ac,1.57 ac,Not Applicable,0.07 ac-ft,0.07 ac-ft,2.333494,Lower LA River,33.796816,-118.169616,2.333494,2.333494
Willmore Heritage Garden Biofiltration Swale,Not Applicable,Long Beach,Lower LA River,"LID Retrofit, Biofiltration",Bioswales with tie-in to the LB-MUST project. Funded by the Port of Long Beach Community Grants Program.,33.775503999999998,-118.20092200000001,Not Applicable,2021-06-30T00:00:00Z,400000,0,Other Municipal Program,0.01 ac,2.04 ac,Not Applicable,0.16 ac-ft,0.11 ac-ft,2.856216,Lower LA River,33.775504,-118.200922,2.8562159999999999,2.8562159999999999
Willow Springs Park Wetland Restoration,Not Applicable,Long Beach,Lower LA River,Other (specify),"3 bioswales, 1 detention basin, 2 infiltration basins, and 1 wetland",33.807913999999997,-118.177733,Not Applicable,2017-06-30T00:00:00Z,0,10240,CA State Proposition 84,1.03 ac,290.83 ac,Not Applicable,26.28 ac-ft,11.50 ac-ft,24.405567,Lower LA River,33.807914,-118.177733,24.405567000000001,24.405567000000001
12200 Civic Center Drive Parking Lot Addition,Not Applicable,Norwalk,Coyote Creek,"LID Retrofit, Biofiltration",1 infiltration basin,33.913854000000001,-118.07214,Not Applicable,2017-01-02T00:00:00Z,100000,50000,Not Applicable,0.02 ac,0.14 ac,Not Applicable,0.25 ac-ft,0.01 ac-ft,0.591509,Lower San Gabriel River,33.913854,-118.07214,0.59150899999999995,0.59150899999999995
"Bellflower Caruthers Park SW and Urban Runoff Capture Project, LSGR WMP",Not Applicable,Bellflower,San Gabriel River,Regional Infiltration Gallery,"The Caruthers Park Stormwater Capture project diverts flow from two Los Angeles County Flood Control facilities and diverts flows to 2 pretreatment devices. The pretreated water is then gravity fed into an underground infiltration reservoir, where water is stored for both infiltration and on-site irrigation use. A two-step treatment system filters and sanitizes the water used for on-site irrigation while excess water will infiltrate through the unlined portion of the reservoir.",33.880181999999998,-118.109036,44651,2023-03-31T00:00:00Z,8840000,72474.37,CalTrans,0.73 ac,"2,995.00 ac",8.70 ac-ft,8.67 ac-ft,6.60 ac-ft,73.640138,Lower San Gabriel River,33.880182,-118.109036,73.640137999999993,73.640137999999993
Brea Canyon Road Street Improvements,Not Applicable,Diamond Bar,Coyote Creek,"Green Street, Biofiltration",1 biofiltration planter,33.967838999999998,-117.84725,Not Applicable,2017-12-05T00:00:00Z,199800,16000,Other Municipal Program,0.00 ac,0.98 ac,Not Applicable,0.07 ac-ft,0.07 ac-ft,4.768694,Lower San Gabriel River,33.967839,-117.84725,4.768694,4.768694
Del Amo Boulevard Rehabilitation Project Phase 1,Not Applicable,Cerritos,Coyote Creek,"Green Street, Bioretention",4 Infiltration trenches,33.846178000000002,-118.067746,Not Applicable,2017-01-01T00:00:00Z,0,0,Not Applicable,0.10 ac,2.80 ac,Not Applicable,1.38 ac-ft,0.12 ac-ft,11.688325,Lower San Gabriel River,33.846178,-118.067746,11.688325000000001,11.688325000000001
